id.plot,id.site,name.plant,name.plant.agg,target.species,target.species.agg,cf,TaxonRank,IsChildTaxonOf,cover,r.all.diagnostic,ffh.lrt,calth.btt,rlg,funct.group
M_ALT_A3,M_ALT,Veronica arvensis,Veronica arvensis,1,1,no,SPE,Veronica,0.5,0,1,0,*,herb
M_ALT_A4,M_ALT,Arrhenatherum elatius,Arrhenatherum elatius,1,1,no,SPE,Arrhenatherum,20,1,1,0,*,grass
M_ALT_A4,M_ALT,Dactylis glomerata s. str.,Dactylis glomerata agg.,1,1,no,SPE,Dactylis glomerata agg.,10,0,1,0,NA,grass
M_ALT_A4,M_ALT,Elymus repens s. str.,Elymus repens s. str.,0,0,no,SPE,Elymus,2,0,0,0,NA,grass
M_ALT_A4,M_ALT,Festuca arundinacea,Festuca arundinacea,0,0,no,SPE,Festuca,62.5,0,0,0,*,grass
M_ALT_A4,M_ALT,Geranium pratense,Geranium pratense,1,1,no,SPE,Geranium,0.1,0,1,0,*,herb
M_ALT_A4,M_ALT,Myosotis ramosissima,Myosotis ramosissima,1,1,no,SPE,Myosotis,0.1,0,1,0,*,herb
M_ALT_A4,M_ALT,Poa angustifolia,Poa pratensis agg.,1,1,no,SPE,Poa pratensis agg.,4,0,1,0,*,grass
M_ALT_A4,M_ALT,Rumex crispus,Rumex crispus,1,1,no,SPE,Rumex,0.1,1,0,0,*,herb
M_ALT_A4,M_ALT,Valerianella locusta,Valerianella locusta,1,1,no,SPE,Valerianella,10,0,1,0,*,herb
M_ALT_A4,M_ALT,Veronica arvensis,Veronica arvensis,1,1,no,SPE,Veronica,0.5,0,1,0,*,herb
M_ALT_T,M_ALT,Cerastium glomeratum,Cerastium glomeratum,0,0,no,SPE,Cerastium,NA,0,0,0,*,herb
M_ALT_T,M_ALT,Heracleum sphondylium,Heracleum sphondylium,1,1,no,SPE,Heracleum,NA,0,1,0,*,herb
M_ALT_T,M_ALT,Linaria vulgaris,Linaria vulgaris,0,0,no,SPE,Linaria,NA,0,0,0,*,herb
M_ALT_T,M_ALT,Ranunculus bulbosus,Ranunculus bulbosus,1,1,no,SPE,Ranunculus,NA,0,1,0,*,herb
M_ALT_T,M_ALT,Senecio vernalis,Senecio vernalis,0,0,no,SPE,Senecio,NA,0,0,0,nb,herb
M_ALT_T,M_ALT,Taraxacum sect. Ruderalia,Taraxacum sect. Ruderalia,1,1,no,SEC,Taraxacum,NA,1,1,0,*,herb
M_ALT_T,M_ALT,Tragopogon pratensis s. l.,Tragopogon pratensis s. l.,1,1,no,AGG,Tragopogon,NA,0,1,0,NA,herb
M_ALT_T,M_ALT,Trifolium dubium,Trifolium dubium agg.,1,1,no,SPE,Trifolium dubium agg.,NA,0,1,0,*,legume
M_ALT_T,M_ALT,Vicia sativa agg.,Vicia sativa agg.,1,1,no,AGG,Vicia,NA,0,1,0,*,legume
