name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Carex leporina,Carex,Carex leporina,1,1
Carex montana,Carex,Carex montana,1,1
Carex muricata agg.,Carex,Carex muricata agg.,1,1
Carex muricata s. str.,Carex muricata agg.,Carex muricata agg.,1,1
Carex nigra,Carex nigra agg.,Carex nigra agg.,1,1
Carex pallescens,Carex,Carex pallescens,1,1
Carex panicea,Carex,Carex panicea,1,1
Carex polyphylla,Carex muricata agg.,Carex muricata agg.,0,1
Carex praecox agg.,Carex,Carex praecox agg.,1,1
Carex praecox s. str.,Carex praecox agg.,Carex praecox agg.,1,1
Carex riparia,Carex,Carex riparia,1,1
Carex tomentosa,Carex,Carex tomentosa,1,1
Carex vesicaria,Carex,Carex vesicaria,1,1
Carex viridula,Carex flava agg.,Carex flava agg.,0,1
Carex vulpina,Carex vulpina agg.,Carex vulpina agg.,1,1
Carex vulpina agg.,Carex,Carex vulpina agg.,1,1
Carlina vulgaris s. str.,Carlina vulgaris agg.,Carlina vulgaris agg.,1,1
Carpinus betulus,Carpinus,Carpinus betulus,0,0
Carum carvi,Carum,Carum carvi,1,1
Centaurea cyanus,Centaurea,Centaurea cyanus,0,0
Centaurea jacea agg.,Centaurea,Centaurea jacea agg.,1,1
Centaurea scabiosa,Centaurea,Centaurea scabiosa,1,1
Centaurea stoebe s. l.,Centaurea paniculata agg.,Centaurea paniculata agg.,1,1
Centaurium erythraea s. str.,Centaurium erythraea s. l.,Centaurium erythraea s. str.,1,1
Cerastium,Caryophyllaceae,Cerastium,0,0
Cerastium arvense,Cerastium,Cerastium arvense,1,1
Cerastium brachypetalum s. str.,Cerastium brachypetalum agg.,Cerastium brachypetalum agg.,0,0
Cerastium dubium,Cerastium,Cerastium dubium,1,1
Cerastium glomeratum,Cerastium,Cerastium glomeratum,0,0
Cerastium glutinosum,Cerastium pumilum agg.,Cerastium pumilum agg.,1,1
Cerastium holosteoides,Cerastium fontanum agg.,Cerastium fontanum agg.,1,1
Cerastium pumilum s. str.,Cerastium pumilum agg.,Cerastium pumilum agg.,1,1
Cerastium semidecandrum,Cerastium,Cerastium semidecandrum,1,1
Chaerophyllum hirsutum s. str.,Chaerophyllum hirsutum agg.,Chaerophyllum hirsutum agg.,1,1
Chenopodium album agg.,Chenopodium,Chenopodium album agg.,0,0
Cichorium intybus,Cichorium,Cichorium intybus,0,0
Cirsium,Asteraceae,Cirsium,0,0
Cirsium acaulon,Cirsium,Cirsium acaulon,1,1
Cirsium arvense,Cirsium,Cirsium arvense,0,0
Cirsium oleraceum,Cirsium,Cirsium oleraceum,1,1
Cirsium palustre,Cirsium,Cirsium palustre,1,1
Cirsium vulgare,Cirsium,Cirsium vulgare,0,0
Clematis vitalba,Clematis,Clematis vitalba,0,0
Clinopodium vulgare,Clinopodium,Clinopodium vulgare,1,1
Colchicum autumnale,Colchicum,Colchicum autumnale,1,1
Conium maculatum,Conium,Conium maculatum,0,0
Convolvulus arvensis,Convolvulus,Convolvulus arvensis,0,0
Cornus sanguinea,Cornus,Cornus sanguinea,0,0
Crataegus,Rosaceae,Crataegus,0,0
Crataegus laevigata s. l.,Crataegus,Crataegus laevigata s. l.,0,0
Crataegus monogyna,Crataegus,Crataegus monogyna,0,0
Crepis,Asteraceae,Crepis,0,0
Crepis biennis,Crepis,Crepis biennis,1,1
Crepis capillaris,Crepis,Crepis capillaris,1,1
Crepis tectorum,Crepis,Crepis tectorum,0,0
Cruciata laevipes,Cruciata,Cruciata laevipes,0,0
Cuscuta epithymum,Cuscuta epithymum agg.,Cuscuta epithymum agg.,1,1
Cynoglossum officinale,Cynoglossum,Cynoglossum officinale,0,0
Cynosurus cristatus,Cynosurus,Cynosurus cristatus,1,1
Dactylis glomerata s. str.,Dactylis glomerata agg.,Dactylis glomerata agg.,1,1
Dactylorhiza incarnata s. str.,Dactylorhiza incarnata agg.,Dactylorhiza incarnata agg.,1,1
Danthonia decumbens,Danthonia,Danthonia decumbens,1,1
Daucus carota,Daucus,Daucus carota,1,1
Deschampsia cespitosa s. str.,Deschampsia cespitosa agg.,Deschampsia cespitosa agg.,1,1
Descurainia sophia,Descurainia,Descurainia sophia,0,0
Dianthus armeria,Dianthus,Dianthus armeria,0,0
Dianthus carthusianorum,Dianthus carthusianorum agg.,Dianthus carthusianorum agg.,1,1
Dianthus deltoides,Dianthus,Dianthus deltoides,1,1
Dictamnus albus,Dictamnus,Dictamnus albus,1,1
Dipsacus fullonum,Dipsacus,Dipsacus fullonum,0,0
Dipsacus pilosus,Dipsacus,Dipsacus pilosus,0,0
Draba verna s. str.,Draba verna agg.,Draba verna agg.,1,1
Echinops sphaerocephalus,Echinops,Echinops sphaerocephalus,0,0
Echium vulgare,Echium,Echium vulgare,1,1
Eleocharis uniglumis,Eleocharis palustris agg.,Eleocharis palustris agg.,1,1
Elymus repens s. str.,Elymus,Elymus repens s. str.,0,0
Epilobium,Onagraceae,Epilobium,0,0
Epilobium hirsutum,Epilobium,Epilobium hirsutum,0,0
Epilobium lamyi,Epilobium tetragonum s. l.,Epilobium tetragonum s. l.,0,0
Epilobium palustre,Epilobium,Epilobium palustre,1,1
Epilobium parviflorum,Epilobium,Epilobium parviflorum,0,0
Epilobium tetragonum s. l.,Epilobium,Epilobium tetragonum s. l.,0,0
Equisetum arvense,Equisetum,Equisetum arvense,0,0
Equisetum fluviatile,Equisetum,Equisetum fluviatile,1,1
Equisetum hyemale,Equisetum,Equisetum hyemale,0,0
Equisetum palustre,Equisetum,Equisetum palustre,1,1
Equisetum pratense,Equisetum,Equisetum pratense,0,0
Equisetum sylvaticum,Equisetum,Equisetum sylvaticum,0,0
Erigeron,Asteraceae,Erigeron,0,0
Erigeron acris s. l.,Erigeron,Erigeron acris s. l.,1,1
Erigeron annuus,Erigeron,Erigeron annuus,0,0
Erigeron canadensis,Erigeron,Erigeron canadensis,0,0
Erodium cicutarium s. str.,Erodium cicutarium agg.,Erodium cicutarium agg.,0,0
Eryngium campestre,Eryngium,Eryngium campestre,1,1
Erysimum cheiranthoides,Erysimum,Erysimum cheiranthoides,0,0
Erysimum crepidifolium,Erysimum,Erysimum crepidifolium,1,1
Euonymus europaeus,Euonymus,Euonymus europaeus,0,0
Eupatorium cannabinum,Eupatorium,Eupatorium cannabinum,0,0
Euphorbia cyparissias,Euphorbia,Euphorbia cyparissias,1,1
Euphorbia esula s. str.,Euphorbia esula agg.,Euphorbia esula agg.,0,0
Euphorbia helioscopia,Euphorbia,Euphorbia helioscopia,0,0
Euphrasia officinalis s. l.,Euphrasia officinalis agg.,Euphrasia officinalis agg.,1,1
Fagus sylvatica,Fagus,Fagus sylvatica,0,0
Falcaria vulgaris,Falcaria,Falcaria vulgaris,1,1
Fallopia convolvulus,Fallopia,Fallopia convolvulus,0,0
Festuca,Poaceae,Festuca,0,0
Festuca arundinacea,Festuca,Festuca arundinacea,0,0
Festuca brevipila,Festuca ovina agg.,Festuca ovina agg.,1,1
Festuca csikhegyensis,Festuca ovina agg.,Festuca ovina agg.,0,1
Festuca gigantea,Festuca,Festuca gigantea,0,0
Festuca heterophylla,Festuca,Festuca heterophylla,0,0
Festuca ovina agg.,Festuca,Festuca ovina agg.,1,1
Festuca pratensis s. str.,Festuca pratensis s. l.,Festuca pratensis s. str.,1,1
Festuca pulchra,Festuca valesiaca s. l.,Festuca ovina agg.,0,1
Festuca rubra,Festuca rubra agg.,Festuca rubra agg.,1,1
