id.site,name.plant,name.plant.agg,cover.mean,cover.mean.agg,target.species,target.species.agg,cf,TaxonRank,IsChildTaxonOf,r.all.diagnostic,ffh.lrt,calth.btt,rlg,funct.group
N_GUT,Lathyrus pratensis,Lathyrus pratensis,1.625,1.625,1,1,no,SPE,Lathyrus,1,1,0,*,legume
N_GUT,Lolium perenne,Lolium perenne,0.875,0.875,1,1,no,SPE,Lolium,1,0,0,*,grass
N_GUT,Lotus pedunculatus,Lotus pedunculatus,1.625,1.625,1,1,no,SPE,Lotus,1,1,1,*,legume
N_GUT,Lychnis flos-cuculi,Lychnis flos-cuculi,0.65,0.65,1,1,no,SPE,Lychnis (nom. rej. sub Silene),1,1,1,*,herb
N_GUT,Phalaris arundinacea,Phalaris arundinacea,0.5,0.5,1,1,no,SPE,Phalaris,0,0,1,*,grass
N_GUT,Phleum pratense agg.,Phleum pratense agg.,2.125,2.125,1,1,no,AGG,Phleum,1,1,0,*,grass
N_GUT,Plantago lanceolata,Plantago lanceolata,7.5,7.5,1,1,no,SPE,Plantago,1,1,0,*,herb
N_GUT,Poa pratensis agg.,Poa pratensis agg.,4.125,4.125,1,1,no,AGG,Poa,1,1,0,*,grass
N_GUT,Poa trivialis s. l.,Poa trivialis s. l.,0.125,0.125,1,1,no,SPE,Poa,1,1,0,NA,grass
N_GUT,Prunella vulgaris,Prunella vulgaris,1.625,1.625,1,1,no,SPE,Prunella,0,1,0,*,herb
N_GUT,Ranunculus acris,Ranunculus acris agg.,0.875,0.875,1,1,no,SPE,Ranunculus acris agg.,1,1,0,*,herb
N_GUT,Ranunculus repens,Ranunculus repens,7.65,7.65,1,1,no,SPE,Ranunculus,1,1,0,*,herb
N_GUT,Rumex acetosa,Rumex acetosa,1.75,1.75,1,1,no,SPE,Rumex,1,1,0,*,herb
N_GUT,Rumex crispus,Rumex crispus,0.75,0.75,1,1,no,SPE,Rumex,1,0,0,*,herb
N_GUT,Rumex obtusifolius,Rumex obtusifolius,0.625,0.625,0,0,no,SPE,Rumex,0,0,0,*,herb
N_GUT,Silene latifolia subsp. alba,Silene latifolia subsp. alba,0.125,0.125,0,0,no,SSP,Silene latifolia,0,0,0,*,herb
N_GUT,Silene vulgaris,Silene vulgaris,0.125,0.125,1,1,no,SPE,Silene,0,1,0,*,herb
N_GUT,Stellaria graminea,Stellaria graminea,0.175,0.175,1,1,no,SPE,Stellaria,1,1,0,*,herb
N_GUT,Taraxacum sect. Ruderalia,Taraxacum sect. Ruderalia,0.25,0.25,1,1,no,SEC,Taraxacum,1,1,0,*,herb
N_GUT,Trifolium pratense,Trifolium pratense,22.25,22.25,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_GUT,Trifolium repens,Trifolium repens,15.5,15.5,1,1,no,SPE,Trifolium,1,1,0,*,legume
N_GUT,Urtica dioica s. l.,Urtica dioica s. l.,0.125,0.125,0,0,no,AGG,Urtica,0,0,0,NA,herb
N_GUT,Veronica arvensis,Veronica arvensis,0.05,0.05,1,1,no,SPE,Veronica,0,1,0,*,herb
N_GUT,Veronica hederifolia agg.,Veronica hederifolia agg.,0.025,0.025,0,0,no,AGG,Veronica,0,0,0,*,herb
N_GUT,Veronica serpyllifolia,Veronica serpyllifolia,0.025,0.025,1,1,no,SPE,Veronica,0,1,0,*,herb
N_GUT,Vicia cracca,Vicia cracca agg.,0.5,0.5,1,1,no,SPE,Vicia cracca agg.,1,1,0,*,legume
N_GUT,Vicia sativa agg.,Vicia sativa agg.,0.5,0.5,1,1,no,AGG,Vicia,0,1,0,*,legume
N_HAI,Alopecurus pratensis,Alopecurus pratensis,30,30,1,1,no,SPE,Alopecurus,1,1,0,*,grass
N_HAI,Anthoxanthum odoratum s. str.,Anthoxanthum odoratum agg.,1.05,1.05,1,1,no,SPE,Anthoxanthum odoratum agg.,0,1,0,NA,grass
N_HAI,Bromus hordeaceus,Bromus hordeaceus agg.,0.025,0.025,1,1,no,SPE,Bromus hordeaceus agg.,0,1,0,*,grass
N_HAI,Cerastium holosteoides,Cerastium fontanum agg.,0.07500000000000001,0.07500000000000001,1,1,no,SPE,Cerastium fontanum agg.,1,1,0,*,herb
N_HAI,Festuca pratensis s. str.,Festuca pratensis s. str.,11.4,11.4,1,1,no,SPE,Festuca pratensis s. l.,0,1,0,NA,grass
N_HAI,Holcus lanatus,Holcus lanatus,26.25,26.25,1,1,no,SPE,Holcus,1,1,0,*,grass
N_HAI,Juncus effusus,Juncus effusus,0.15,0.15,1,1,no,SPE,Juncus,1,0,1,*,grass
N_HAI,Poa annua,Poa annua agg.,0.025,0.025,0,0,no,SPE,Poa annua agg.,0,0,0,*,grass
N_HAI,Poa pratensis agg.,Poa pratensis agg.,0.2,0.2,1,1,no,AGG,Poa,1,1,0,*,grass
N_HAI,Poa trivialis s. l.,Poa trivialis s. l.,22.25,22.25,1,1,no,SPE,Poa,1,1,0,NA,grass
N_HAI,Ranunculus acris,Ranunculus acris agg.,0.275,0.275,1,1,no,SPE,Ranunculus acris agg.,1,1,0,*,herb
N_HAI,Ranunculus repens,Ranunculus repens,3.025,3.025,1,1,no,SPE,Ranunculus,1,1,0,*,herb
N_HAI,Rumex acetosa,Rumex acetosa,0.125,0.125,1,1,no,SPE,Rumex,1,1,0,*,herb
N_HAI,Taraxacum sect. Ruderalia,Taraxacum sect. Ruderalia,3.15,3.15,1,1,no,SEC,Taraxacum,1,1,0,*,herb
N_HAI,Veronica serpyllifolia,Veronica serpyllifolia,0.125,0.125,1,1,no,SPE,Veronica,0,1,0,*,herb
N_HOH,Achillea millefolium agg.,Achillea millefolium agg.,0.025,0.025,1,1,no,AGG,Achillea,1,1,0,*,herb
N_HOH,Agrostis capillaris,Agrostis capillaris,9.5,9.5,1,1,no,SPE,Agrostis,1,1,0,*,grass
N_HOH,Aira praecox,Aira praecox,0.125,0.125,1,1,no,SPE,Aira,0,1,0,V,grass
N_HOH,Arabidopsis thaliana,Arabidopsis thaliana,0.05,0.05,1,1,no,SPE,Arabidopsis,0,1,0,*,herb
N_HOH,Arrhenatherum elatius,Arrhenatherum elatius,5.75,5.75,1,1,no,SPE,Arrhenatherum,1,1,0,*,grass
