id.site,site.type,hydrology,region,fg.ratio,fg.ratio.std,rest.meth,land.use.hist,rest.age,rest.age.std,cover.grass,cover.forbs,cover.legumes,tot.hill.0,tot.hill.1,target.hill.0,target.hill.1,fcsi.hill.0
M_WUN,negative,fresh,centre,0.144,-0.8999717087446302,NA,NA,NA,NA,76.25,10,1,19,4.96980367683958,14,4.3276829321868755,2.6508917872622613
M_WUP,positive,fresh,centre,0.916,-0.019760904495385246,NA,NA,NA,NA,40,36.25,0.375,47,17.550376297983203,32,17.73172145462696,3.467687122930988
M_WUR,positive,moist,centre,0.774,-0.18166496434433965,NA,NA,NA,NA,41,31.25,0.5,39,11.413337858545638,30,9.2959566381964,3.40452517175483
N_AFE,restored,fresh,north,1.005,0.08171417526910008,cus,arable land,34,2.845421903962701,50,47.5,2.75,33,12.172447816586546,26,10.870451610753392,3.262892710284975
N_ALA,restored,fresh,north,1.361,0.4876144943270421,res,grassland,6,-0.5408653205879513,45,47.5,13.75,42,13.52623764535936,33,13.1580134024917,3.4995332823830174
N_ARE,restored,fresh,north,0.358,-0.6559754495356427,res,arable land,NA,NA,61.25,21.25,0.65,34,8.528651574233427,28,8.281565289861327,3.337293579682675
N_BEB,restored,fresh,north,0.021,-1.0402125493180203,cus,arable land,29,2.240727756721513,90,1.875,0,13,3.3034622041832984,9,3.0348526136202136,2.2192034840549946
N_BEN,negative,fresh,north,0.15,-0.8931306921312941,NA,NA,NA,NA,91.75,13.75,0,12,5.328490052349661,12,5.328490052349661,2.5649493574615367
N_BIT,restored,fresh,north,1.782,0.9676258266961253,dih,grassland,4,-0.7827429794844265,32.5,57.5,0.4,24,6.391164271940755,21,6.321369905702665,3.056356895370426
N_BLE,positive,fresh,north,0.821,-0.12807700087320695,NA,NA,NA,NA,60,43.75,5.5,39,13.597833969585706,30,11.238497656835388,3.40452517175483
N_BLU,restored,fresh,north,0.686,-0.2819998746732691,cus,arable land,28,2.1197889272732753,43.75,29.5,0.525,31,7.623853150046571,24,6.54966452739062,3.1832486472250494
N_BRD,restored,fresh,north,0.426,-0.5784439279178334,dih,grassland,3,-0.903681808932664,52.5,20.75,1.625,42,5.493233732234986,36,4.783267045762075,3.587479339672207
N_BRE,restored,dry,north,0.846,-0.09957276498430649,res,arable land,4,-0.7827429794844265,48.75,20,21.25,42,15.60706943852336,39,15.282070209487236,3.669951444228418
N_BRO,restored,dry,north,2.809,2.1385798370121547,dih,arable land,8,-0.29898766169147617,17,43.75,4,41,10.892113297745256,35,9.424911121184902,3.5594213868770495
N_BU1,negative,fresh,north,0.563,-0.42224071524665924,NA,NA,NA,NA,80,13.75,31.25,25,6.831115671271139,23,6.4745357593223165,3.14988295338125
N_BU2,negative,moist,north,0.079,-0.9740827220557714,NA,NA,NA,NA,95,6.25,1.25,32,8.724934237192171,25,7.544567650198599,3.22386336637924
N_CAM,positive,dry,north,0.132,-0.9136537419713024,NA,NA,NA,NA,19.25,2.5,0.05,20,5.530719232800966,19,5.447204320100582,2.970414465569701
N_CNI,restored,moist,north,0.361,-0.6525549412289746,mga,grassland,16,0.6685229738944245,71.25,22,3.75,29,6.518694935847649,22,5.608376638412584,3.096708190893993
N_DAM,restored,fresh,north,0.027,-1.0333715327046842,res,arable land,7,-0.4199264911397137,48.75,0.9,0.425,9,1.2366877626684054,6,1.094200972243796,1.8325814637483104
N_DUM,positive,moist,north,0.613,-0.36523224346885835,NA,NA,NA,NA,77.5,21.25,26.25,34,15.27830346737286,33,14.945300376944218,3.5115454388310208
N_EIC,restored,dry,north,1.001,0.077153497526876,dih,grassland,6,-0.5408653205879513,45,45,0.05,28,9.883682959147048,25,9.805794895239393,3.228826155721369
N_ELB,restored,fresh,north,1.714,0.890094305078316,res,arable land,5,-0.6618041500361889,35,40,20,23,10.600284707417083,20,10.088454942979109,3.0081547935525483
