id.site,name.plant,cf,TaxonRank,IsChildTaxonOf,cover.mean
M_BAD,Fragaria viridis,no,SPE,Fragaria,3.025
M_BAD,Galium verum s. str.,no,SPE,Galium verum agg.,0.125
M_BAD,Hieracium pilosella,no,SPE,Hieracium subg. Pilosella,1.05
M_BAD,Hippocrepis comosa,no,SPE,Hippocrepis,0.025
M_BAD,Koeleria macrantha,no,SPE,Koeleria pyramidata agg.,0.375
M_BAD,Ligustrum vulgare,no,SPE,Ligustrum,0.5
M_BAD,Linum catharticum,no,SPE,Linum,0.125
M_BAD,Medicago lupulina,no,SPE,Medicago,0.175
M_BAD,Orchis purpurea,no,SPE,Orchis,1.5
M_BAD,Potentilla heptaphylla,no,SPE,Potentilla,4.125
M_BAD,Potentilla verna,no,SPE,Potentilla verna agg.,0.175
M_BAD,Prunus,no,GAT,Rosaceae,0.5
M_BAD,Prunus mahaleb,no,SPE,Prunus,0.125
M_BAD,Prunus spinosa s. str.,no,SPE,Prunus spinosa agg.,1.5
M_BAD,Reseda lutea,no,SPE,Reseda,0.025
M_BAD,Rosa,no,GAT,Rosaceae,2.5
M_BAD,Sanguisorba minor s. l.,no,SPE,Sanguisorba,1.25
M_BAD,Seseli hippomarathrum,no,SPE,Seseli,3.125
M_BAD,Sonchus oleraceus,no,SPE,Sonchus,0.025
M_BAD,Teucrium chamaedrys,no,SPE,Teucrium,8.5
M_BAD,Thymus praecox,no,SPE,Thymus,0.375
M_BAD,Tragopogon dubius,yes,SPE,Tragopogon,0.025
M_BAL,Alopecurus pratensis,no,SPE,Alopecurus,0.5
M_BAL,Arenaria serpyllifolia s. l.,no,SPE,Arenaria serpyllifolia agg.,0.125
M_BAL,Arrhenatherum elatius,no,SPE,Arrhenatherum,33.125
M_BAL,Bromus hordeaceus,no,SPE,Bromus hordeaceus agg.,0.25
M_BAL,Bromus sterilis,no,SPE,Bromus,6.125
M_BAL,Carduus acanthoides,no,SPE,Carduus,0.125
M_BAL,Centaurea jacea agg.,no,AGG,Centaurea,0.125
M_BAL,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,3.625
M_BAL,Cirsium arvense,no,SPE,Cirsium,0.15
M_BAL,Convolvulus arvensis,no,SPE,Convolvulus,2.5
M_BAL,Crataegus monogyna,no,SPE,Crataegus,0.125
M_BAL,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,5.125
M_BAL,Festuca ovina agg.,no,AG1,Festuca,0.5
M_BAL,Festuca rubra,no,SPE,Festuca rubra agg.,3
M_BAL,Festuca rupicola,no,SPE,Festuca ovina agg.,0.125
M_BAL,Fragaria viridis,no,SPE,Fragaria,2.5
M_BAL,Galium mollugo agg.,no,AGG,Galium,5
M_BAL,Lamium album,no,SPE,Lamium,5
M_BAL,Myosotis ramosissima,no,SPE,Myosotis,0.025
M_BAL,Origanum vulgare,no,SPE,Origanum,1
M_BAL,Papaver rhoeas,no,SPE,Papaver,0.125
M_BAL,Poa pratensis agg.,no,AGG,Poa,1.5
M_BAL,Prunus spinosa s. str.,no,SPE,Prunus spinosa agg.,0.625
M_BAL,Rosa canina s. l.,no,SPE,Rosa,2.5
M_BAL,Torilis arvensis,no,SPE,Torilis,1.625
M_BAL,Trifolium campestre,no,SPE,Trifolium,1
