attributeName;attributeDefinition;formatString;definition;unit;numberType;type;factor;comment,,,
name.plant;Botanical species name identified by TNRS package;NA;NA;NA;NA;character;NA;Nomenclature see column url,,,
family;Family of plant species;NA;family of plant species from worldfloraonline.org;NA;NA;character;NA;Nomenclature see column url,,,
R1A_Diagnostic;;;;;;;;,,,
R1A_Constant;;;;;;;;,,,
R1B_Diagnostic;;;;;;;;,,,
R1B_Constant;;;;;;;;,,,
R1B_Dominant;;;;;;;;,,,
R1M_Diagnostic;;;;;;;;,,,
R1M_Constant;;;;;;;;,,,
R1M_Dominant;;;;;;;;,,,
R1P_Diagnostic;;;;;;;;,,,
R1P_Constant;;;;;;;;,,,
R21_Diagnostic;;;;;;;;,,,
R21_Constant;;;;;;;;,,,
R21_Dominant;;;;;;;;,,,
R22_Diagnostic;;;;;;;;,,,
R22_Constant;;;;;;;;,,,
R35_Diagnostic;;;;;;;;,,,
R35_Constant;;;;;;;;,,,
R36_Diagnostic;;;;;;;;,,,
R36_Constant;;;;;;;;,,,
R36_Dominant;;;;;;;;,,,
R37_Diagnostic;;;;;;;;,,,
R37_Constant;;;;;;;;,,,
R37_Dominant;;;;;;;;,,,
ffh.6120;;;;;;;;,,,
ffh.6210;;;;;;;;,,,
ffh.6230;;;;;;;;,,,
ffh.6240;;;;;;;;,,,
ffh.6410;;;;;;;;,,,
ffh.6440;;;;;;;;,,,
ffh.6510;;;;;;;;,,,
bv.Â§30.borstgrasrasen;;;;;;;;,,,
bv.art23.pfeifengraswiesen;;;;;;;;,,,
bv.Â§30.nasswiesen;;;;;;;;,,,
bv.gruenland.feucht;;;;;;;;,,,
bv.gruenland.frisch;;;;;;;;,,,
bv.Â§30.trockenrasen;;;;;;;;,,,
btt.bv.GL Typische Arten;;;;;;;;,,,
btt.bv.GA Typische Arten;;;;;;;;,,,
btt.bv.GL6120* Typische Arten;;;;;;;;,,,
btt.bv.GN Typische Arten;;;;;;;;,,,
btt.bv.GO6230* Typische Arten;;;;;;;;,,,
btt.bv.GP6410 Typische Arten;;;;;;;;,,,
btt.bv.GT und GT6210 Typische Arten;;;;;;;;,,,
btt.bv.GT621P* Typische Arten;;;;;;;;,,,
btt.bv.GT6240* Typische Arten;;;;;;;;,,,
btt.bv.GU, GU651E und GU651L Typische Arten;;;;;;;;,,
btt.hh.GMG Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GMG Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GMM Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GMM Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GMT Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GMT Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GMW Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GMW Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GFA Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GFA Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GFR Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GFR Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GFC Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GFC Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GFF Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GFF Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GN Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GN Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.hh.GNP Kennzeichnende Arten;;;;;;;;,,,
btt.hh.GNP Wertgebende Arten (RL-HH);;;;;;;;,,,
btt.nie.9.1 GM weithin verbreitete GrÃ¼nlandarten;;;;;;;;,,,
btt.nie.9.1 GM Kennarten fÃ¼r GrÃ¼nland mit weiter Standortamplitude;;;;;;;;,,,
btt.nie.9.1.1 GMF ZusÃ¤tzliche Kennarten;;;;;;;;,,,
btt.nie.9.1.3 GMA ZusÃ¤tzliche Kennarten;;;;;;;;,,,
btt.nie.9.1.4 GMK ZusÃ¤tzliche Kennarten;;;;;;;;,,,
btt.nie.9.3. GN Kennzeichnende Pflanzenarten;;;;;;;;,,,
btt.nie.9.4.1 GFB Kennarten;;;;;;;;,,,
btt.nie.9.4.2 GFF Kennarten;;;;;;;;,,,
btt.nie.9.4.3 GFS Kennarten;;;;;;;;,,,
sh.feucht.naessezeiger;;;;;;;;,,,
sh.trockenheitszeiger;;;;;;;;,,,
sh.basenzeiger;;;;;;;;,,,
sh.magerkeitszeiger;;;;;;;;,,,
sh.ruderalisierungszeiger;;;;;;;;,,,
sh.beweidungszeiger;;;;;;;;,,,
sh.wert.gruenlandarten;;;;;;;;,,,
sh.ausnahmearten.spp.wert.gruenlandarten;;;;;;;;,,,
sh.nicht.wert.flutrasenarten;;;;;;;;,,,
sh.calthion;;;;;;;;,,,
sh.wiesenzeiger;;;;;;;;,,,
hh.gl.typical;;;;;;;;,,,
hh.gl.N.zeiger;;;;;;;;,,,
hh.gl.R.zeiger;;;;;;;;,,,
hh.gl.F.zeiger;;;;;;;;,,,
url;Individual ID for each species name;NA;individual id for each species name;NA;NA;character;NA;WCVP = Kew Gardens = https://powo.science.kew.org/, WFO = www.worldfloraonline.org,,
