name.original,family,url,name.plant,name.dummy,sla,height,seedmass,flowering.start,growth.form.1,growth.form.2,nitrogen.fix,oek.l,oek.t,oek.k,oek.f,oek.f.change,oek.n,oek.r,oek.s,lf.leb,mahdvertra,weidevertr,trittvertr,futterwert,sociology,legal,status,neobiota,rlg,responsibility,funct.group.x,R11.Diagnostic,R16.Diagnostic,R1A.Diagnostic,R1B.Diagnostic,R1M.Diagnostic,R1P.Diagnostic,R21.Diagnostic,R22.Diagnostic,R35.Diagnostic,R36.Diagnostic,R37.Diagnostic,ffh.2330,ffh.6120,ffh.6210,ffh.6230,ffh.6240,ffh.6410,ffh.6440,ffh.6510,sh.feucht.naessezeiger,sh.trockenheitszeiger,sh.basenzeiger,sh.magerkeitszeiger,sh.ruderalisierungszeiger,sh.beweidungszeiger,sh.wert.gruenlandarten,sh.ausnahmearten.spp.wert.gruenlandarten,sh.nicht.wert.flutrasenarten,sh.calthion,sh.wiesenzeiger,btt.hh.GMG Kennzeichnende Arten,btt.hh.GMG Wertgebende Arten (RL-HH),btt.hh.GMM Kennzeichnende Arten,btt.hh.GMM Wertgebende Arten (RL-HH),btt.hh.GMT Kennzeichnende Arten,btt.hh.GMT Wertgebende Arten (RL-HH),btt.hh.GMW Kennzeichnende Arten,btt.hh.GMW Wertgebende Arten (RL-HH),btt.hh.GFA Kennzeichnende Arten,btt.hh.GFA Wertgebende Arten (RL-HH),btt.hh.GFR Kennzeichnende Arten,btt.hh.GFR Wertgebende Arten (RL-HH),btt.hh.GFC Kennzeichnende Arten,btt.hh.GFC Wertgebende Arten (RL-HH),btt.hh.GFF Kennzeichnende Arten,btt.hh.GFF Wertgebende Arten (RL-HH),btt.hh.GN Kennzeichnende Arten,btt.hh.GN Wertgebende Arten (RL-HH),btt.hh.GNP Kennzeichnende Arten,btt.hh.GNP Wertgebende Arten (RL-HH),hh.gl.typical,hh.gl.F.zeiger,hh.gl.N.zeiger,hh.gl.R.zeiger,nie.gn.gf.kennarten,btt.nie.9.1 GM weithin verbreitete Grünlandarten,btt.nie.9.1 GM Kennarten für Grünland mit weiter Standortamplitude,btt.nie.9.1.1 GMF Zusätzliche Kennarten,btt.nie.9.1.3 GMA Zusätzliche Kennarten,btt.nie.9.1.4 GMK Zusätzliche Kennarten,btt.nie.9.3. GN Kennzeichnende Pflanzenarten,btt.nie.9.4.1 GFB Kennarten,btt.nie.9.4.2 GFF Kennarten,btt.nie.9.4.3 GFS Kennarten,lsa.nasswiesen,bv.§30.borstgrasrasen,bv.art23.pfeifengraswiesen,bv.§30.nasswiesen,bv.gruenland.feucht,bv.gruenland.frisch,bv.§30.trockenrasen,btt.bv.GL Typische Arten,btt.bv.GA Typische Arten,btt.bv.GL6120* Typische Arten,btt.bv.GN Typische Arten,btt.bv.GO6230* Typische Arten,btt.bv.GP6410 Typische Arten,btt.bv.GT und GT6210 Typische Arten,btt.bv.GT621P* Typische Arten,btt.bv.GT6240* Typische Arten,"btt.bv.GU, GU651E und GU651L Typische Arten",calth.sturm,funct.group.y,ruderal,target_ellenberg
Inula hirta,Asteraceae,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225926-1,Inula hirta,Inula hirta,211.86,0.275,2.22e-4,Jun,NA,herb,NA,7,6,6,3,NA,3,8,0,H,3,3,3,4,8423,NA,I,NA,3,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,no
Inula salicina,Asteraceae,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226091-1,Inula salicina,Inula salicina,266.3,0.5,1.7e-4,Jun,herb,herb,NA,8,6,5,6,~,3,9,1,H,4,2,2,4,5411,NA,I,NA,V,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,A,B,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,herb,no,molinietalia
Iris aphylla,Iridaceae,https://www.worldfloraonline.org/taxon/wfo-0000783074,Iris aphylla,Iris aphylla,NA,0.225,NA,May,herb,forb,NA,8,7,6,3,NA,1,6,0,G,NA,NA,NA,NA,5213,b,I,NA,2,(!),herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,sedo-scleranthetea
Iris pseudacorus,Iridaceae,https://www.worldfloraonline.org/taxon/wfo-0000783754,Iris pseudacorus,Iris pseudacorus,160.52,0.625,0.04789225,May,herb,NA,no,7,6,3,9,=,7,NA,0,"A,G",4,3,2,2,1510,b,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,no
Jasione montana,Campanulaceae,https://www.worldfloraonline.org/taxon/wfo-0000813712,Jasione montana,Jasione montana,363.9,0.15,4.88e-5,Jun,herb,forb,NA,7,6,3,3,NA,2,3,0,H,3,3,3,3,5210,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T,A,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,sedo-scleranthetea
Juglans regia,Juglandaceae,https://www.worldfloraonline.org/taxon/wfo-0000355051,Juglans regia,Juglans regia,146,16.5,8.5735128825,NA,tree,tree,NA,6,8,2,6,NA,7,7,0,P,NA,NA,NA,NA,0,NA,I,NA,*,NA,wood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wood,no,no
Juncus acutiflorus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000775706,Juncus acutiflorus,Juncus acutiflorus,113.5,0.5875,9.66666666666667e-6,Jul,herb,graminoid,no,9,6,2,8,NA,3,5,0,"G,H",4,4,4,2,5414,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,F,A,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,grass,no,molinietalia
Juncus articulatus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000775879,Juncus articulatus,Juncus articulatus,193.78,0.411666666666667,1.94333333333333e-5,NA,herb,graminoid,no,8,NA,3,9,NA,2,NA,1,H,4,4,4,2,1700,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,F,A,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Juncus compressus agg.,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000776221,Juncus compressus agg.,Juncus compressus,147,0.225,1.2e-5,Jul,herb,graminoid,NA,8,5,3,8,=,5,7,1,G,5,4,4,2,3811,NA,I,NA,*,nb,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Juncus conglomeratus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000776253,Juncus conglomeratus,Juncus conglomeratus,49,0.61,2.04e-5,May,herb,NA,no,8,5,3,7,~,3,4,0,H,4,7,6,2,5410,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,F,A,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,grass,no,molinietalia
Juncus effusus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000776350,Juncus effusus,Juncus effusus,109.36,1.26666666666667,6.98070833333333e-4,Jun,herb,NA,no,8,5,3,7,NA,4,3,0,H,4,7,6,2,5410,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,F,NA,S,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,grass,no,molinietalia
Juncus filiformis,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000776448,Juncus filiformis,Juncus filiformis,98.3,0.3,2.425e-5,Jun,herb,NA,NA,7,4,5,9,NA,3,4,0,"G,H",5,3,4,2,5415,NA,I,NA,V,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,F,A,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,molinietalia
Juncus inflexus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000776625,Juncus inflexus,Juncus inflexus,36.45,0.425,7.165e-5,Jun,herb,graminoid,no,8,5,3,7,~,4,8,1,H,5,7,6,2,3811,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,F,NA,B,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Juncus subnodulosus,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000777313,Juncus subnodulosus,Juncus subnodulosus,66,0.7875,1.25e-5,NA,herb,graminoid,no,8,6,2,8,NA,3,9,2,G,4,4,4,2,5415,NA,I,NA,3,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,F,A,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,molinietalia
Juncus tenuis,Juncaceae,https://www.worldfloraonline.org/taxon/wfo-0000777403,Juncus tenuis,Juncus tenuis,134.97,0.422666666666667,1.33666666666667e-5,Jun,herb,NA,no,6,6,3,6,NA,5,5,0,H,6,9,9,2,3711,NA,N,N,nb,nb,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Knautia arvensis s. str.,Caprifoliaceae,https://www.worldfloraonline.org/taxon/wfo-0000356720,Knautia arvensis s. str.,Knautia arvensis,197.06,0.433,0.0040089,Jun,herb,NA,NA,7,6,3,4,NA,4,NA,0,H,5,3,2,3,5420,NA,NA,NA,NA,NA,herb,NA,NA,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,herb,no,arrhenatheretalia
Koeleria macrantha,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000877153,Koeleria macrantha,Koeleria macrantha,118.07,0.2665,4.21871e-4,NA,herb,graminoid,NA,7,6,7,3,NA,2,8,0,H,4,3,2,3,5323,NA,I,NA,V,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,festuco-brometea
Koeleria pyramidata,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000877284,Koeleria pyramidata,Koeleria pyramidata,165.3,0.325,0.0023,NA,herb,graminoid,NA,7,6,4,4,NA,2,7,0,H,4,4,4,4,5320,NA,I,NA,V,NA,grass,NA,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,grass,no,festuco-brometea
Lactuca serriola,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000015140,Lactuca serriola,Lactuca serriola,165.86,0.741666666666667,5.2572725e-4,NA,herb,NA,no,9,7,7,4,NA,4,NA,0,"H,T",NA,NA,NA,NA,3000,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,no
Lamium album,Lamiaceae,https://www.worldfloraonline.org/taxon/wfo-0000222425,Lamium album,Lamium album,359.02,0.317,0.0015555,NA,herb,forb,NA,7,NA,3,5,NA,9,NA,0,H,5,7,4,2,3511,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Lamium amplexicaule,Lamiaceae,https://www.worldfloraonline.org/taxon/wfo-0000222440,Lamium amplexicaule,Lamium amplexicaule,197,0.1415,5.78625e-4,NA,herb,NA,no,6,6,5,4,NA,7,7,0,T,NA,NA,NA,NA,3310,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Lamium purpureum s. str.,Lamiaceae,https://www.worldfloraonline.org/taxon/wfo-0000222642,Lamium purpureum s. str.,Lamium purpureum,384.5,0.211,7.142e-4,NA,herb,NA,no,7,5,3,5,NA,7,7,0,"T,H",3,4,3,2,0,NA,NA,NA,NA,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,no
Lappula squarrosa,Boraginaceae,https://www.worldfloraonline.org/taxon/wfo-0000361500,Lappula squarrosa,Lappula squarrosa,304.1,0.454,0.00155,NA,herb,forb,NA,8,6,6,3,NA,6,7,0,"H,T",NA,NA,NA,NA,3331,NA,I,NA,2,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Lapsana communis,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000086921,Lapsana communis,Lapsana communis,487.33,0.54,9.44666666666667e-4,NA,herb,NA,no,5,6,3,5,NA,7,NA,0,"H,T",NA,NA,NA,NA,3532,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Lathyrus nissolia,Fabaceae,https://www.worldfloraonline.org/taxon/wfo-0000212696,Lathyrus nissolia,Lathyrus nissolia,195.23,0.375,0.008471,May,herb,forb,NA,7,6,4,4,NA,4,7,0,T,NA,NA,NA,NA,3400,NA,I,NA,3,NA,legume,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legume,yes,no
Lathyrus palustris,Fabaceae,https://www.worldfloraonline.org/taxon/wfo-0000213816,Lathyrus palustris,Lathyrus palustris,340.1,0.717,0.016769625,NA,herb,forb,NA,8,6,NA,8,=,3,8,0,Hli,3,1,1,6,5410,b,I,NA,3,NA,legume,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,F,A,B,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,legume,no,molinietalia
Lathyrus pratensis,Fabaceae,https://www.worldfloraonline.org/taxon/wfo-0000212701,Lathyrus pratensis,Lathyrus pratensis,254.16,0.567,0.01205385,Jun,herb,forb,NA,7,5,NA,6,NA,6,7,0,Hli,5,2,3,7,5400,NA,I,NA,*,NA,legume,NA,NA,NA,NA,NA,NA,NA,17.6,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,legume,no,no
Lathyrus tuberosus,Fabaceae,https://www.worldfloraonline.org/taxon/wfo-0000213826,Lathyrus tuberosus,Lathyrus tuberosus,297.37,0.555,0.032142,Jun,herb,forb,NA,7,6,6,4,~,4,8,0,"G,Hli",NA,NA,NA,NA,3411,NA,I,NA,*,NA,legume,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,legume,yes,no
Legousia speculum-veneris,Campanulaceae,https://www.worldfloraonline.org/taxon/wfo-0000820884,Legousia speculum-veneris,Legousia speculum-veneris,651.3,0.172,1.94e-4,Jun,herb,forb,NA,7,7,4,4,NA,3,8,0,T,NA,NA,NA,NA,3411,NA,I,NA,2,?,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Leontodon,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-4000021031,Leontodon,Leontodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,NA,NA
Leontodon hispidus,Asteraceae,https://www.worldfloraonline.org/taxon/wfo-0000018147,Leontodon hispidus,Leontodon hispidus,258.01,0.235,0.0011080715,Jun,herb,forb,NA,8,NA,3,5,NA,6,7,0,H,5,5,5,6,5000,NA,I,NA,*,NA,herb,NA,NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,herb,no,no
