id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,hydrology,site.type,rest.meth,rest.age,land.use.hist,cover.grass,cover.forbs,cover.legumes,site.forb.legu.grass.ratio
M_DOR_A3,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,fresh,restored,cus,27,arable land,50,15,0,0.4
M_DOR_A4,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,fresh,restored,cus,27,arable land,45,20,0,0.4
M_EIC_A1,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,fresh,negative,NA,NA,NA,35,20,40,0.929
M_EIC_A2,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,fresh,negative,NA,NA,NA,65,10,5,0.929
M_EIC_A3,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,fresh,negative,NA,NA,NA,20,10,70,0.929
M_EIC_A4,M_EIC,centre,654,Central European mixed forests,56.56999969,12.18899395,51.85716614,fresh,negative,NA,NA,NA,55,7,0.5,0.929
M_FAL_A1,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,fresh,restored,res,6,arable land,50,50,0,1.129
M_FAL_A2,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,fresh,restored,res,6,arable land,45,40,0,1.129
M_FAL_A3,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,fresh,restored,res,6,arable land,40,60,0.5,1.129
M_FAL_A4,M_FAL,centre,654,Central European mixed forests,142.5299988,11.35946299,51.74746391,fresh,restored,res,6,arable land,40,45,2,1.129
M_FRB_A1,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,dry,restored,mga,14,grassland,50,35,25,1.188
M_FRB_A2,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,dry,restored,mga,14,grassland,20,25,20,1.188
M_FRB_A3,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,dry,restored,mga,14,grassland,40,40,6,1.188
M_FRB_A4,M_FRB,centre,654,Central European mixed forests,136.2400055,11.73327072,51.62485865,dry,restored,mga,14,grassland,55,30,15,1.188
M_GRO_A1,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,fresh,restored,cus,26,arable land,30,17,18,0.31
M_GRO_A2,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,fresh,restored,cus,26,arable land,53,7,6,0.31
M_GRO_A3,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,fresh,restored,cus,26,arable land,60,4,5,0.31
M_GRO_A4,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,fresh,restored,cus,26,arable land,60,2,4,0.31
M_HAH_A1,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,dry,positive,NA,NA,NA,52,5,0.1,0.987
M_HAH_A2,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,dry,positive,NA,NA,NA,23,23,0,0.987
M_HAH_A3,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,dry,positive,NA,NA,NA,30,35,0.5,0.987
M_HAH_A4,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,dry,positive,NA,NA,NA,5,45,0,0.987
M_HAI_A1,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,fresh,restored,mga,11,grassland,63,22,5,0.444
M_HAI_A2,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,fresh,restored,mga,11,grassland,50,10,10,0.444
M_HAI_A3,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,fresh,restored,mga,11,grassland,47,25,3,0.444
M_HAI_A4,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,fresh,restored,mga,11,grassland,45,13,3,0.444
M_HAR_A1,M_HAR,centre,654,Central European mixed forests,149.1900024,11.08520296,51.82462193,fresh,restored,res,12,arable land,20,55,5,1.318
M_HAR_A2,M_HAR,centre,654,Central European mixed forests,149.1900024,11.08520296,51.82462193,fresh,restored,res,12,arable land,33,60,10,1.318
M_HAR_A3,M_HAR,centre,654,Central European mixed forests,149.1900024,11.08520296,51.82462193,fresh,restored,res,12,arable land,40,30,5,1.318
M_HAR_A4,M_HAR,centre,654,Central European mixed forests,149.1900024,11.08520296,51.82462193,fresh,restored,res,12,arable land,55,25,5,1.318
M_HIR_A1,M_HIR,centre,654,Central European mixed forests,207.1199951,11.68710429,51.1981926,dry,restored,mga,9,grassland,35,35,0,1.208
M_HIR_A2,M_HIR,centre,654,Central European mixed forests,207.1199951,11.68710429,51.1981926,dry,restored,mga,9,grassland,30,40,0,1.208
M_HIR_A3,M_HIR,centre,654,Central European mixed forests,207.1199951,11.68710429,51.1981926,dry,restored,mga,9,grassland,25,40,0,1.208
M_HIR_A4,M_HIR,centre,654,Central European mixed forests,207.1199951,11.68710429,51.1981926,dry,restored,mga,9,grassland,30,30,0,1.208
M_HLI_A1,M_HLI,centre,686,Western European broadleaf forests,344.5700073,11.33102988,51.53507321,fresh,positive,NA,NA,NA,30,45,17,1.761
M_HLI_A2,M_HLI,centre,686,Western European broadleaf forests,344.5700073,11.33102988,51.53507321,fresh,positive,NA,NA,NA,33,17,8,1.761
M_HLI_A3,M_HLI,centre,686,Western European broadleaf forests,344.5700073,11.33102988,51.53507321,fresh,positive,NA,NA,NA,25,27,35,1.761
M_HLI_A4,M_HLI,centre,686,Western European broadleaf forests,344.5700073,11.33102988,51.53507321,fresh,positive,NA,NA,NA,25,23,27,1.761
M_HNB_A1,M_HNB,centre,654,Central European mixed forests,209.5399933,11.77775515,51.2062993,dry,restored,mga,2,grassland,19,10,2,0.798
M_HNB_A2,M_HNB,centre,654,Central European mixed forests,209.5399933,11.77775515,51.2062993,dry,restored,mga,2,grassland,40,15,5,0.798
M_HNB_A3,M_HNB,centre,654,Central European mixed forests,209.5399933,11.77775515,51.2062993,dry,restored,mga,2,grassland,45,30,3,0.798
M_HNB_A4,M_HNB,centre,654,Central European mixed forests,209.5399933,11.77775515,51.2062993,dry,restored,mga,2,grassland,20,30,4,0.798
M_HOH_A1,M_HOH,centre,654,Central European mixed forests,61.65000153,11.65059088,51.85418882,moist,restored,cus,26,arable land,65,25,0,1.35
M_HOH_A2,M_HOH,centre,654,Central European mixed forests,61.65000153,11.65059088,51.85418882,moist,restored,cus,26,arable land,35,45,0.1,1.35
M_HOH_A3,M_HOH,centre,654,Central European mixed forests,61.65000153,11.65059088,51.85418882,moist,restored,cus,26,arable land,35,55,0.1,1.35
M_HOH_A4,M_HOH,centre,654,Central European mixed forests,61.65000153,11.65059088,51.85418882,moist,restored,cus,26,arable land,17,80,0,1.35
M_ILB_A1,M_ILB,centre,654,Central European mixed forests,67.48000336,11.65441561,51.82311226,fresh,restored,res,12,arable land,40,10,50,2.478
M_ILB_A2,M_ILB,centre,654,Central European mixed forests,67.48000336,11.65441561,51.82311226,fresh,restored,res,12,arable land,35,25,20,2.478
M_ILB_A3,M_ILB,centre,654,Central European mixed forests,67.48000336,11.65441561,51.82311226,fresh,restored,res,12,arable land,15,5,90,2.478
M_ILB_A4,M_ILB,centre,654,Central European mixed forests,67.48000336,11.65441561,51.82311226,fresh,restored,res,12,arable land,25,25,60,2.478
M_JEP_A1,M_JEP,centre,654,Central European mixed forests,34.40999985,12.02312125,52.4791434,fresh,positive,NA,NA,NA,40,60,2,1.739
M_JEP_A2,M_JEP,centre,654,Central European mixed forests,34.40999985,12.02312125,52.4791434,fresh,positive,NA,NA,NA,30,60,2,1.739
M_JEP_A3,M_JEP,centre,654,Central European mixed forests,34.40999985,12.02312125,52.4791434,fresh,positive,NA,NA,NA,40,45,2,1.739
M_JEP_A4,M_JEP,centre,654,Central European mixed forests,34.40999985,12.02312125,52.4791434,fresh,positive,NA,NA,NA,20,55,0.1,1.739
M_JER_A1,M_JER,centre,654,Central European mixed forests,34.11000061,12.01639122,52.48309646,fresh,restored,dih,5,arable land,30,45,1,4.5
M_JER_A2,M_JER,centre,654,Central European mixed forests,34.11000061,12.01639122,52.48309646,fresh,restored,dih,5,arable land,20,50,10,4.5
M_JER_A3,M_JER,centre,654,Central European mixed forests,34.11000061,12.01639122,52.48309646,fresh,restored,dih,5,arable land,5,75,5,4.5
M_JER_A4,M_JER,centre,654,Central European mixed forests,34.11000061,12.01639122,52.48309646,fresh,restored,dih,5,arable land,3,72,3,4.5
M_KAL_A1,M_KAL,centre,686,Western European broadleaf forests,274.9100037,11.1614036,51.49407413,fresh,positive,NA,NA,NA,33,40,10,0.745
M_KAL_A2,M_KAL,centre,686,Western European broadleaf forests,274.9100037,11.1614036,51.49407413,fresh,positive,NA,NA,NA,40,10,15,0.745
M_KAL_A3,M_KAL,centre,686,Western European broadleaf forests,274.9100037,11.1614036,51.49407413,fresh,positive,NA,NA,NA,35,12,2,0.745
M_KAL_A4,M_KAL,centre,686,Western European broadleaf forests,274.9100037,11.1614036,51.49407413,fresh,positive,NA,NA,NA,45,5,20,0.745
M_KAP_A1,M_KAP,centre,654,Central European mixed forests,58.43000031,12.23992028,51.87819202,fresh,negative,NA,NA,NA,55,30,20,0.265
M_KAP_A2,M_KAP,centre,654,Central European mixed forests,58.43000031,12.23992028,51.87819202,fresh,negative,NA,NA,NA,80,15,1,0.265
M_KAP_A3,M_KAP,centre,654,Central European mixed forests,58.43000031,12.23992028,51.87819202,fresh,negative,NA,NA,NA,85,7,1,0.265
M_KAP_A4,M_KAP,centre,654,Central European mixed forests,58.43000031,12.23992028,51.87819202,fresh,negative,NA,NA,NA,80,5,0.5,0.265
M_KIF_A1,M_KIF,centre,654,Central European mixed forests,114.7300034,11.7568316,51.65465985,dry,negative,NA,NA,NA,30,35,2,0.447
M_KIF_A2,M_KIF,centre,654,Central European mixed forests,114.7300034,11.7568316,51.65465985,dry,negative,NA,NA,NA,50,15,2,0.447
M_KIF_A3,M_KIF,centre,654,Central European mixed forests,114.7300034,11.7568316,51.65465985,dry,negative,NA,NA,NA,45,10,1,0.447
M_KIF_A4,M_KIF,centre,654,Central European mixed forests,114.7300034,11.7568316,51.65465985,dry,negative,NA,NA,NA,45,10,1,0.447
M_KOL_A1,M_KOL,centre,654,Central European mixed forests,114.6600037,11.82447632,51.50647081,dry,restored,res,3,arable land,45,15,1,0.804
M_KOL_A2,M_KOL,centre,654,Central European mixed forests,114.6600037,11.82447632,51.50647081,dry,restored,res,3,arable land,50,30,5,0.804
M_KOL_A3,M_KOL,centre,654,Central European mixed forests,114.6600037,11.82447632,51.50647081,dry,restored,res,3,arable land,35,35,2,0.804
M_KOL_A4,M_KOL,centre,654,Central European mixed forests,114.6600037,11.82447632,51.50647081,dry,restored,res,3,arable land,33,39,4,0.804
M_KOT_A1,M_KOT,centre,654,Central European mixed forests,72,11.97743495,51.76112712,fresh,restored,res,4,arable land,40,20,30,1.04
M_KOT_A2,M_KOT,centre,654,Central European mixed forests,72,11.97743495,51.76112712,fresh,restored,res,4,arable land,65,20,10,1.04
M_KOT_A3,M_KOT,centre,654,Central European mixed forests,72,11.97743495,51.76112712,fresh,restored,res,4,arable land,25,12,50,1.04
M_KOT_A4,M_KOT,centre,654,Central European mixed forests,72,11.97743495,51.76112712,fresh,restored,res,4,arable land,45,15,25,1.04
M_KUH_A1,M_KUH,centre,654,Central European mixed forests,161.2100067,11.83230936,51.25517652,dry,restored,mga,4,grassland,50,10,0,0.324
M_KUH_A2,M_KUH,centre,654,Central European mixed forests,161.2100067,11.83230936,51.25517652,dry,restored,mga,4,grassland,55,10,0.5,0.324
M_KUH_A3,M_KUH,centre,654,Central European mixed forests,161.2100067,11.83230936,51.25517652,dry,restored,mga,4,grassland,35,35,0.5,0.324
M_KUH_A4,M_KUH,centre,654,Central European mixed forests,161.2100067,11.83230936,51.25517652,dry,restored,mga,4,grassland,50,5,0.5,0.324
M_LOB_A1,M_LOB,centre,654,Central European mixed forests,114.2600021,11.9262047,51.63375412,fresh,restored,cus,NA,arable land,25,40,25,1.376
M_LOB_A2,M_LOB,centre,654,Central European mixed forests,114.2600021,11.9262047,51.63375412,fresh,restored,cus,NA,arable land,50,30,17,1.376
M_LOB_A3,M_LOB,centre,654,Central European mixed forests,114.2600021,11.9262047,51.63375412,fresh,restored,cus,NA,arable land,50,30,15,1.376
M_LOB_A4,M_LOB,centre,654,Central European mixed forests,114.2600021,11.9262047,51.63375412,fresh,restored,cus,NA,arable land,40,50,20,1.376
M_MOZ_A1,M_MOZ,centre,686,Western European broadleaf forests,310.6099854,11.30686446,51.69061448,moist,positive,NA,NA,NA,45,40,1,0.688
M_MOZ_A2,M_MOZ,centre,686,Western European broadleaf forests,310.6099854,11.30686446,51.69061448,moist,positive,NA,NA,NA,60,45,2,0.688
M_MOZ_A3,M_MOZ,centre,686,Western European broadleaf forests,310.6099854,11.30686446,51.69061448,moist,positive,NA,NA,NA,65,35,5,0.688
M_MOZ_A4,M_MOZ,centre,686,Western European broadleaf forests,310.6099854,11.30686446,51.69061448,moist,positive,NA,NA,NA,70,35,2,0.688
M_NEL_A1,M_NEL,centre,654,Central European mixed forests,96.33999634,11.75335512,51.66467973,dry,restored,mga,14,grassland,6,7,2,0.917
M_NEL_A2,M_NEL,centre,654,Central European mixed forests,96.33999634,11.75335512,51.66467973,dry,restored,mga,14,grassland,10,10,0,0.917
M_NEL_A3,M_NEL,centre,654,Central European mixed forests,96.33999634,11.75335512,51.66467973,dry,restored,mga,14,grassland,10,10,0.1,0.917
M_NEL_A4,M_NEL,centre,654,Central European mixed forests,96.33999634,11.75335512,51.66467973,dry,restored,mga,14,grassland,15,8,0.5,0.917
M_NIS_A1,M_NIS,centre,654,Central European mixed forests,204.7700043,11.76049993,51.20428793,dry,negative,NA,NA,NA,20,60,0,1.727
M_NIS_A2,M_NIS,centre,654,Central European mixed forests,204.7700043,11.76049993,51.20428793,dry,negative,NA,NA,NA,50,30,0,1.727
M_NIS_A3,M_NIS,centre,654,Central European mixed forests,204.7700043,11.76049993,51.20428793,dry,negative,NA,NA,NA,20,50,0,1.727
M_NIS_A4,M_NIS,centre,654,Central European mixed forests,204.7700043,11.76049993,51.20428793,dry,negative,NA,NA,NA,20,50,0,1.727
M_PRA_A1,M_PRA,centre,654,Central European mixed forests,66.73000336,12.67487398,51.84309028,moist,restored,dih,22,arable land,70,12,0.1,1.354
M_PRA_A2,M_PRA,centre,654,Central European mixed forests,66.73000336,12.67487398,51.84309028,moist,restored,dih,22,arable land,35,12,55,1.354
M_PRA_A3,M_PRA,centre,654,Central European mixed forests,66.73000336,12.67487398,51.84309028,moist,restored,dih,22,arable land,30,20,25,1.354
M_PRA_A4,M_PRA,centre,654,Central European mixed forests,66.73000336,12.67487398,51.84309028,moist,restored,dih,22,arable land,12,50,25,1.354
M_SKF_A1,M_SKF,centre,654,Central European mixed forests,66.11000061,11.57491171,52.02875982,fresh,restored,res,9,arable land,25,30,7,1.363
M_SKF_A2,M_SKF,centre,654,Central European mixed forests,66.11000061,11.57491171,52.02875982,fresh,restored,res,9,arable land,30,25,5,1.363
M_SKF_A3,M_SKF,centre,654,Central European mixed forests,66.11000061,11.57491171,52.02875982,fresh,restored,res,9,arable land,22,34,1,1.363
M_SKF_A4,M_SKF,centre,654,Central European mixed forests,66.11000061,11.57491171,52.02875982,fresh,restored,res,9,arable land,25,35,2,1.363
M_SMH_A1,M_SMH,centre,654,Central European mixed forests,227.3800049,11.59779124,51.33296162,dry,negative,NA,NA,NA,50,11,0,0.237
M_SMH_A2,M_SMH,centre,654,Central European mixed forests,227.3800049,11.59779124,51.33296162,dry,negative,NA,NA,NA,50,15,0.1,0.237
M_SMH_A3,M_SMH,centre,654,Central European mixed forests,227.3800049,11.59779124,51.33296162,dry,negative,NA,NA,NA,50,17,4,0.237
M_SMH_A4,M_SMH,centre,654,Central European mixed forests,227.3800049,11.59779124,51.33296162,dry,negative,NA,NA,NA,70,5,0,0.237
M_SSB_A1,M_SSB,centre,654,Central European mixed forests,182.1799927,11.72160941,51.21551542,dry,positive,NA,NA,NA,18,37,0.5,1.259
M_SSB_A2,M_SSB,centre,654,Central European mixed forests,182.1799927,11.72160941,51.21551542,dry,positive,NA,NA,NA,50,25,0,1.259
M_SSB_A3,M_SSB,centre,654,Central European mixed forests,182.1799927,11.72160941,51.21551542,dry,positive,NA,NA,NA,25,42,1,1.259
M_SSB_A4,M_SSB,centre,654,Central European mixed forests,182.1799927,11.72160941,51.21551542,dry,positive,NA,NA,NA,15,30,0.5,1.259
M_SSL_A1,M_SSL,centre,654,Central European mixed forests,118.0299988,11.92439633,51.6336248,dry,positive,NA,NA,NA,60,20,0.1,0.722
M_SSL_A2,M_SSL,centre,654,Central European mixed forests,118.0299988,11.92439633,51.6336248,dry,positive,NA,NA,NA,70,12,0,0.722
M_SSL_A3,M_SSL,centre,654,Central European mixed forests,118.0299988,11.92439633,51.6336248,dry,positive,NA,NA,NA,20,80,0,0.722
M_SSL_A4,M_SSL,centre,654,Central European mixed forests,118.0299988,11.92439633,51.6336248,dry,positive,NA,NA,NA,22,12,0,0.722
M_STA_A1,M_STA,centre,654,Central European mixed forests,54.43999863,12.03915626,51.87081962,fresh,restored,res,5,grassland,60,30,5,0.8
M_STA_A2,M_STA,centre,654,Central European mixed forests,54.43999863,12.03915626,51.87081962,fresh,restored,res,5,grassland,60,35,2,0.8
M_STA_A3,M_STA,centre,654,Central European mixed forests,54.43999863,12.03915626,51.87081962,fresh,restored,res,5,grassland,40,40,5,0.8
M_STA_A4,M_STA,centre,654,Central European mixed forests,54.43999863,12.03915626,51.87081962,fresh,restored,res,5,grassland,40,40,3,0.8
M_STF_A1,M_STF,centre,654,Central European mixed forests,39.75,11.6869805,52.28069534,moist,restored,dih,3,arable land,25,40,10,1.2
M_STF_A2,M_STF,centre,654,Central European mixed forests,39.75,11.6869805,52.28069534,moist,restored,dih,3,arable land,25,30,20,1.2
M_STF_A3,M_STF,centre,654,Central European mixed forests,39.75,11.6869805,52.28069534,moist,restored,dih,3,arable land,35,15,15,1.2
M_STF_A4,M_STF,centre,654,Central European mixed forests,39.75,11.6869805,52.28069534,moist,restored,dih,3,arable land,50,20,12,1.2
M_STI_A1,M_STI,centre,654,Central European mixed forests,91.91999817,11.83597112,51.65776367,moist,restored,cus,28,arable land,60,25,0,0.387
M_STI_A2,M_STI,centre,654,Central European mixed forests,91.91999817,11.83597112,51.65776367,moist,restored,cus,28,arable land,65,20,0,0.387
M_STI_A3,M_STI,centre,654,Central European mixed forests,91.91999817,11.83597112,51.65776367,moist,restored,cus,28,arable land,60,30,0,0.387
M_STI_A4,M_STI,centre,654,Central European mixed forests,91.91999817,11.83597112,51.65776367,moist,restored,cus,28,arable land,75,25,0.5,0.387
M_STN_A1,M_STN,centre,654,Central European mixed forests,184.0599976,11.51118008,51.27824642,dry,restored,mga,2,grassland,50,40,0.5,0.786
M_STN_A2,M_STN,centre,654,Central European mixed forests,184.0599976,11.51118008,51.27824642,dry,restored,mga,2,grassland,50,30,0,0.786
